id,name,surname,height,age,city
105,John,Garrett,182,49,Venezia
106,John,Oneill,169,44,Bergamo
107,Dawn,Lopez,169,45,Verona
108,James,Rice,169,45,Trento
109,Jason,Oneill,162,31,Bologna
110,Jason,Fox,169,49,Torino
111,Stephanie,Rice,150,42,Milano
112,James,Villanueva,177,31,Verona
113,Katherine,Rich,157,45,Rovereto
114,Erica,Garrett,182,34,Bolzano
115,Stephanie,Atkins,169,42,Bolzano
116,Larry,Oneill,150,44,Rovereto
117,Stephanie,Rice,177,39,Bolzano
118,John,Villanueva,161,34,Rovereto
119,Erica,Villanueva,173,44,Brescia
120,Dawn,Rodgers,162,36,Trento
121,Dawn,Fox,161,34,Bergamo
122,Jason,Rodgers,177,45,Bologna
123,Stephanie,Villanueva,177,49,Rovereto
124,Stephanie,Rich,152,45,Rovereto
125,Katherine,Rodgers,161,45,Trento
126,Stephanie,Rodgers,161,41,Bolzano
127,Larry,Garrett,161,39,Bologna
128,John,Snyder,173,49,Bergamo
129,John,Villanueva,188,36,Brescia
130,Larry,Garrett,188,42,Brescia
131,James,Oneill,188,34,Venezia
132,Michael,Rodgers,152,45,Bologna
133,Larry,Rodgers,173,45,Rovereto
134,Katherine,Fox,150,39,Verona
135,Beth,Oneill,177,34,Bergamo
136,Beth,Snyder,169,48,Rovereto
137,Beth,Rich,150,44,Bolzano
138,Dawn,Lopez,173,48,Brescia
139,John,Rodgers,188,42,Rovereto
140,Michael,Lopez,161,42,Bologna
141,Erica,Rodgers,162,39,Verona
142,James,Atkins,162,41,Bergamo
143,Stephanie,Atkins,169,48,Trento
144,John,Lopez,161,49,Rovereto
145,Jason,Villanueva,182,41,Rovereto
146,Beth,Rich,182,36,Bergamo
147,Dawn,Garrett,173,49,Verona
148,Jason,Oneill,152,45,Bergamo
149,Michael,Snyder,150,49,Brescia
150,Stephanie,Rice,188,41,Torino
151,Michael,Villanueva,182,31,Rovereto
152,Dawn,Rich,152,39,Bolzano
153,Erica,Fox,161,42,Torino
154,Larry,Rice,188,41,Torino
155,Beth,Fox,169,36,Verona
156,Katherine,Oneill,188,36,Trento
157,Erica,Rodgers,182,31,Verona
158,Michael,Rice,177,39,Bergamo
159,Larry,Villanueva,177,41,Milano
160,Katherine,Rich,162,31,Bolzano
161,Beth,Rodgers,177,44,Bolzano
162,Katherine,Oneill,177,45,Brescia
163,Katherine,Garrett,157,48,Rovereto
164,Stephanie,Atkins,161,45,Verona
165,Beth,Snyder,161,31,Milano
166,Jason,Oneill,152,41,Milano
167,Katherine,Fox,157,49,Brescia
168,James,Rich,173,44,Verona
169,John,Rich,152,44,Verona
170,Beth,Villanueva,162,34,Trento
171,Michael,Rich,150,45,Venezia
172,Katherine,Rice,162,48,Trento
173,Stephanie,Lopez,157,49,Milano
174,Beth,Villanueva,162,34,Bolzano
175,Erica,Atkins,161,41,Bologna
176,Jason,Garrett,188,39,Bergamo
177,Michael,Lopez,169,36,Milano
178,Jason,Garrett,162,48,Rovereto
179,Michael,Oneill,152,31,Milano
180,John,Villanueva,169,49,Bolzano
181,Dawn,Rice,162,31,Bergamo
182,Stephanie,Oneill,173,48,Bergamo
183,Dawn,Snyder,188,41,Trento
184,Larry,Oneill,169,42,Bolzano
185,Beth,Fox,161,44,Verona
186,Katherine,Garrett,177,44,Trento
187,John,Garrett,157,44,Bologna
188,Jason,Rich,157,36,Rovereto
189,Larry,Villanueva,173,42,Bologna
190,Jason,Rodgers,152,31,Brescia
191,Dawn,Garrett,182,49,Bologna
192,John,Villanueva,173,48,Milano
193,Katherine,Rich,173,44,Verona
194,Beth,Atkins,188,34,Brescia
195,Erica,Snyder,169,49,Milano
196,Larry,Oneill,161,44,Verona
197,Beth,Rich,161,44,Bergamo
198,Stephanie,Atkins,152,34,Venezia
199,Stephanie,Snyder,177,36,Bergamo
